Model,Features,NonBooleanFeatures,Attributes,Variables,Constraints,Solver,Operation,Tactics,Runs,Result,MeanTime(s),MedianTime(s),StdDevTime(s)
Pizza_z3_original,15,2,10,27,7,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+smt,10,True,0.0031,0.003,0.0009
Pizza_z3_original,15,2,10,27,7,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+smt,10,6,0.0205,0.0193,0.0035
Pizza_z3_original,15,2,10,27,7,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+smt,10,2,0.0266,0.0267,0.0009
Pizza_z3_original,15,2,10,27,7,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+smt,10,2,0.0185,0.0185,0.001
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+smt,10,True,0.0063,0.005,0.0027
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+smt,10,9,0.2138,0.2117,0.0154
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+smt,10,5,0.2658,0.2695,0.0133
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+smt,10,3,0.2032,0.2032,0.0106
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+smt,10,True,0.0273,0.0273,0.0016
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+smt,10,13,2.3925,2.4287,0.1172
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+smt,10,14,1.8598,1.8059,0.1646
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+smt,10,4,1.6654,1.6716,0.032
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+smt,10,True,0.025,0.0258,0.0029
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+smt,10,9,2.3374,2.3289,0.0842
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+smt,10,2,2.4364,2.4032,0.0821
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+smt,10,1,2.2519,2.2426,0.0469
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+smt,10,True,0.0534,0.056,0.0081
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+smt,10,9,6.5905,6.579,0.0466
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+smt,10,3,6.7485,6.7291,0.0773
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+smt,10,1,6.5017,6.5152,0.0523
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+smt,10,True,0.0497,0.0493,0.0046
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+smt,10,13,7.5534,7.5367,0.0944
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+smt,10,19,7.202,7.1884,0.0566
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+smt,10,4,7.4765,7.4629,0.0711
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+smt,10,True,0.0092,0.0088,0.0014
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+smt,10,12,4.6967,4.7077,0.0766
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+smt,10,5,4.2162,4.2237,0.0783
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+smt,10,2,4.3754,4.3622,0.0626
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+smt,10,True,0.1789,0.1595,0.0591
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+smt,10,58,55.4287,55.6025,0.9558
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+smt,10,3,65.3578,65.2051,0.7217
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+smt,10,48,55.3455,55.4864,1.019
