Model,Features,NonBooleanFeatures,Attributes,Variables,Constraints,Solver,Operation,Tactics,Runs,Result,MeanTime(s),MedianTime(s),StdDevTime(s)
Pizza_z3_original,15,2,10,27,7,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,True,0.0017,0.0017,0.0003
Pizza_z3_original,15,2,10,27,7,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,6,0.0174,0.0173,0.0008
Pizza_z3_original,15,2,10,27,7,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,2,0.0213,0.0212,0.0008
Pizza_z3_original,15,2,10,27,7,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,2,0.0147,0.0145,0.0008
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,True,0.005,0.005,0.0014
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,9,0.1729,0.1689,0.0176
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,5,0.1982,0.189,0.0264
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,3,0.1357,0.1354,0.004
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,True,0.0208,0.0205,0.0019
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,13,1.6725,1.6506,0.072
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,14,1.5992,1.598,0.0584
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,4,1.54,1.5274,0.0387
