Model,Features,NonBooleanFeatures,Attributes,Variables,Constraints,Solver,Operation,Tactics,Runs,Result,MeanTime(s),MedianTime(s),StdDevTime(s)
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,True,0.0271,0.0277,0.003
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,9,2.1515,2.1504,0.0364
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,2,2.2368,2.2389,0.0275
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,1,2.0967,2.1074,0.0309
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,True,0.0499,0.0475,0.0062
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,9,6.5056,6.5101,0.0968
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,3,6.6761,6.6555,0.0858
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,1,6.496,6.487,0.0713
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,True,0.0463,0.0445,0.0047
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,13,7.5536,7.5586,0.0629
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,19,7.2741,7.2564,0.0778
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,4,7.565,7.5538,0.0902
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,True,0.0142,0.0132,0.0041
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,12,4.8112,4.823,0.0994
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,5,4.4015,4.4041,0.0802
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,2,4.5612,4.5697,0.0574
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3Satisfiable,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,True,0.172,0.1759,0.0247
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3CoreFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,58,54.7236,54.7074,0.6755
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3DeadFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,3,66.524,66.4558,0.4955
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+solve-eqs+elim-uncnstr+smt,10,48,55.4083,55.4564,0.485
