Model,Features,NonBooleanFeatures,Attributes,Variables,Constraints,Solver,Operation,Tactics,Runs,Result,MeanTime(s),MedianTime(s),StdDevTime(s)
Pizza_z3_original,15,2,10,27,7,Z3,Z3Satisfiable,simplify+smt,10,True,0.0015,0.0014,0.0002
Pizza_z3_original,15,2,10,27,7,Z3,Z3CoreFeatures,simplify+smt,10,6,0.0156,0.0153,0.0007
Pizza_z3_original,15,2,10,27,7,Z3,Z3DeadFeatures,simplify+smt,10,2,0.0208,0.0205,0.0016
Pizza_z3_original,15,2,10,27,7,Z3,Z3FalseOptionalFeatures,simplify+smt,10,2,0.0137,0.0135,0.0009
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3Satisfiable,simplify+smt,10,True,0.0044,0.0044,0.0008
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3CoreFeatures,simplify+smt,10,9,0.1943,0.19,0.0155
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3DeadFeatures,simplify+smt,10,5,0.2011,0.2002,0.0053
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3FalseOptionalFeatures,simplify+smt,10,3,0.1912,0.1905,0.0057
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3Satisfiable,simplify+smt,10,True,0.019,0.0191,0.0013
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3CoreFeatures,simplify+smt,10,13,1.5403,1.5349,0.0467
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3DeadFeatures,simplify+smt,10,14,1.5309,1.53,0.0275
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3FalseOptionalFeatures,simplify+smt,10,4,1.6462,1.6672,0.0651
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3Satisfiable,simplify+smt,10,True,0.0265,0.0282,0.0027
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3CoreFeatures,simplify+smt,10,9,2.3877,2.3702,0.0647
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3DeadFeatures,simplify+smt,10,2,2.5765,2.5485,0.0697
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3FalseOptionalFeatures,simplify+smt,10,1,2.3713,2.3685,0.0458
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3Satisfiable,simplify+smt,10,True,0.058,0.0567,0.0043
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3CoreFeatures,simplify+smt,10,9,6.9404,6.8655,0.2416
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3DeadFeatures,simplify+smt,10,3,7.006,7.0031,0.0634
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3FalseOptionalFeatures,simplify+smt,10,1,6.7464,6.7402,0.0631
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3Satisfiable,simplify+smt,10,True,0.0453,0.0455,0.0038
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3CoreFeatures,simplify+smt,10,13,7.1727,7.2053,0.1423
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3DeadFeatures,simplify+smt,10,19,7.4043,7.4047,0.1232
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3FalseOptionalFeatures,simplify+smt,10,4,7.3534,7.376,0.1061
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3Satisfiable,simplify+smt,10,True,0.0092,0.0086,0.0016
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3CoreFeatures,simplify+smt,10,12,2.3852,2.3589,0.0515
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3DeadFeatures,simplify+smt,10,5,3.4683,3.4726,0.059
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3FalseOptionalFeatures,simplify+smt,10,2,2.9267,2.9177,0.0496
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3Satisfiable,simplify+smt,10,True,0.1429,0.1428,0.0072
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3CoreFeatures,simplify+smt,10,58,55.7303,56.2708,2.2715
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3DeadFeatures,simplify+smt,10,3,63.7824,62.6727,3.05
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3FalseOptionalFeatures,simplify+smt,10,48,50.933,50.907,0.5212
